parameter,problem,a,b,observed_difference,simultaneous_difference_bounds,beyond_10pp_supported,original_cell_parse_eligible
RE,S2,hybrid,paraphrase_1,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
RE,S2,hybrid,paraphrase_2,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
RE,S2,hybrid,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
RE,S2,paraphrase_1,paraphrase_2,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
RE,S2,paraphrase_1,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
RE,S2,paraphrase_2,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
RE,S3,hybrid,paraphrase_1,-0.43999999999999995,"[-0.7881702741969099, 0.0564215133679985]",False,True
RE,S3,hybrid,paraphrase_2,-0.5,"[-0.8310372353345508, -0.0005535010931907447]",False,True
RE,S3,hybrid,paraphrase_3,-0.19999999999999998,"[-0.5840925300639472, 0.2518692784419332]",False,True
RE,S3,paraphrase_1,paraphrase_2,-0.06000000000000005,"[-0.5182639359066112, 0.4184219603077811]",False,True
RE,S3,paraphrase_1,paraphrase_3,0.24,"[-0.2713192306360077, 0.670844739842905]",False,True
RE,S3,paraphrase_2,paraphrase_3,0.30000000000000004,"[-0.21434421617481847, 0.7137117009805459]",False,True
PD,S1,hybrid,paraphrase_1,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
PD,S1,hybrid,paraphrase_2,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
PD,S1,hybrid,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
PD,S1,paraphrase_1,paraphrase_2,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
PD,S1,paraphrase_1,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
PD,S1,paraphrase_2,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
PD,S2,hybrid,paraphrase_1,-0.15591836734693876,"[-0.5651459537638377, 0.32194867415041106]",False,True
PD,S2,hybrid,paraphrase_2,-0.020000000000000018,"[-0.480665243245124, 0.4473906739102401]",False,True
PD,S2,hybrid,paraphrase_3,-0.28,"[-0.6110769874216457, 0.1462944670497981]",False,True
PD,S2,paraphrase_1,paraphrase_2,0.13591836734693874,"[-0.33584692168559294, 0.5457696319641356]",False,True
